Property SOLD,Location,Property Type,Price (AED),Price/sqft (AED),Built-up Area (sqft),Beds
19-Dec-13,29 BLVD T1,Apartment,"1,950,000","2,431",802,1 Bed
18-Dec-13,29 BLVD T1,Apartment,"1,446,888","1,823",794,1 Bed
17-Dec-13,29 BLVD T1,Apartment,"1,535,888","1,935",794,1 Bed
16-Dec-13,29 BLVD T1,Apartment,"2,975,000","2,763","1,077",1 Bed
16-Dec-13,29 BLVD T1,Apartment,"1,850,000","2,401",770,1 Bed
15-Dec-13,29 BLVD T1,Apartment,"1,514,888","1,889",802,1 Bed
15-Dec-13,29 BLVD T1,Apartment,"1,589,888","2,003",794,1 Bed
15-Dec-13,29 BLVD T1,Apartment,"1,950,000","2,531",770,1 Bed
15-Dec-13,29 BLVD T1,Apartment,"1,456,888","1,742",836,1 Bed
11-Dec-13,29 BLVD T1,Apartment,"2,950,000","2,553","1,155",1 Bed
11-Dec-13,29 BLVD T1,Apartment,"2,254,419","2,094","1,077",1 Bed
8-Dec-13,29 BLVD T1,Apartment,"2,190,888","2,015","1,087",1 Bed
8-Dec-13,29 BLVD T1,Apartment,"1,546,888","1,707",906,1 Bed
3-Dec-13,29 BLVD T1,Apartment,"1,410,000","1,682",838,1 Bed
3-Dec-13,29 BLVD T1,Apartment,"2,199,888","1,904","1,155",1 Bed
18-Nov-13,29 BLVD T1,Apartment,"2,300,000","2,672",861,1 Bed
14-Nov-13,29 BLVD T1,Apartment,"1,610,000","2,029",794,1 Bed
7-Nov-13,29 BLVD T1,Apartment,"1,645,888","1,912",861,1 Bed
4-Nov-13,29 BLVD T1,Apartment,"1,905,888","1,770","1,077",1 Bed
28-Oct-13,29 BLVD T1,Apartment,"2,950,000","2,554","1,155",1 Bed
28-Oct-13,29 BLVD T1,Apartment,"1,407,888","1,680",838,1 Bed
7-Oct-13,29 BLVD T1,Apartment,"1,561,888","1,955",799,1 Bed
7-Oct-13,29 BLVD T1,Apartment,"1,466,888","1,730",848,1 Bed
7-Oct-13,29 BLVD T1,Apartment,"1,546,888","1,846",838,1 Bed
